Start             End               Sif   SrcIPaddress    SrcP  DIf   DstIPaddress    DstP    P Fl Pkts       Octets
0410.21:47:51.286 0410.21:47:51.311 0     192.168.0.36    58732 0     192.168.0.1     53    17  0  1          71        
0410.21:47:51.294 0410.21:47:51.314 0     192.168.0.1     53    0     192.168.0.36    20168 17  0  1          142       
0410.21:47:51.294 0410.21:47:51.314 0     192.168.0.36    20168 0     192.168.0.1     53    17  0  1          71        
0410.21:47:51.315 0410.21:47:51.474 0     192.168.0.36    39502 0     199.232.155.3   80    6   3  6          767       
0410.21:47:51.315 0410.21:47:51.474 0     199.232.155.3   80    0     192.168.0.36    39502 6   3  5          1338      
0410.21:47:51.315 0410.21:47:51.475 0     192.168.0.36    39504 0     199.232.155.3   80    6   3  6          767       
0410.21:47:51.315 0410.21:47:51.475 0     199.232.155.3   80    0     192.168.0.36    39504 6   3  6          1390      
0410.21:47:51.316 0410.21:47:51.478 0     192.168.0.36    39506 0     199.232.155.3   80    6   3  7          819       
0410.21:47:51.316 0410.21:47:51.478 0     199.232.155.3   80    0     192.168.0.36    39506 6   3  7          1442      
0410.21:47:51.557 0410.21:47:51.573 0     192.168.0.1     53    0     192.168.0.36    14395 17  0  1          146       
0410.21:47:51.557 0410.21:47:51.573 0     192.168.0.36    14395 0     192.168.0.1     53    17  0  1          64        
0410.21:47:51.558 0410.21:47:51.578 0     192.168.0.1     53    0     192.168.0.36    4957  17  0  1          170       
0410.21:47:51.558 0410.21:47:51.578 0     192.168.0.36    4957  0     192.168.0.1     53    17  0  1          64        
0410.21:47:52.280 0410.21:47:52.296 0     192.168.0.1     53    0     192.168.0.36    7244  17  0  1          89        
0410.21:47:52.280 0410.21:47:52.296 0     192.168.0.36    7244  0     192.168.0.1     53    17  0  1          73        
0410.21:47:52.281 0410.21:47:52.296 0     192.168.0.1     53    0     192.168.0.36    46950 17  0  1          101       
0410.21:47:52.281 0410.21:47:52.296 0     192.168.0.36    46950 0     192.168.0.1     53    17  0  1          73        
0410.21:47:52.397 0410.21:47:52.415 0     192.168.0.1     53    0     192.168.0.36    43521 17  0  1          110       
0410.21:47:52.397 0410.21:47:52.415 0     192.168.0.36    43521 0     192.168.0.1     53    17  0  1          59        
0410.21:47:52.404 0410.21:47:52.421 0     192.168.0.1     53    0     192.168.0.36    33871 17  0  1          122       
0410.21:47:52.404 0410.21:47:52.421 0     192.168.0.36    33871 0     192.168.0.1     53    17  0  1          59        
0410.21:47:56.055 0410.21:47:59.030 0     192.168.0.136   61041 0     239.255.255.250 1900  17  0  4          812       
0410.21:47:59.030 0410.21:47:59.030 0     0.0.0.0         68    0     255.255.255.255 67    17  0  1          325       
0410.21:48:03.435 0410.21:48:03.435 0     192.168.0.142   1716  0     255.255.255.255 1716  17  0  1          1500      
0410.21:48:03.435 0410.21:48:03.435 0     192.168.0.142   0     0     255.255.255.255 0     17  0  1          628       
0410.21:48:05.933 0410.21:48:05.946 0     192.168.0.1     53    0     192.168.0.36    26228 17  0  1          186       
0410.21:48:05.933 0410.21:48:05.946 0     192.168.0.36    26228 0     192.168.0.1     53    17  0  1          75        
0410.21:48:05.935 0410.21:48:05.952 0     192.168.0.1     53    0     192.168.0.36    63275 17  0  1          198       
0410.21:48:05.935 0410.21:48:05.952 0     192.168.0.36    63275 0     192.168.0.1     53    17  0  1          75        
0410.21:47:51.578 0410.21:48:06.697 0     172.64.149.23   80    0     192.168.0.36    38478 6   3  5          1283      
0410.21:47:51.578 0410.21:48:06.697 0     192.168.0.36    38478 0     172.64.149.23   80    6   3  7          811       
0410.21:47:52.297 0410.21:48:06.704 0     142.250.217.138 443   0     192.168.0.36    48166 6   3  20         12713     
0410.21:47:52.297 0410.21:48:06.704 0     192.168.0.36    48166 0     142.250.217.138 443   6   3  22         2704      
0410.21:47:52.422 0410.21:48:06.704 0     142.250.189.3   80    0     192.168.0.36    43414 6   3  6          1022      
0410.21:47:52.422 0410.21:48:06.704 0     192.168.0.36    43414 0     142.250.189.3   80    6   3  7          812       
0410.21:48:05.953 0410.21:48:06.294 0     34.120.237.76   443   0     192.168.0.36    49054 6   3  8          3830      
0410.21:48:05.953 0410.21:48:06.294 0     192.168.0.36    49054 0     34.120.237.76   443   6   3  13         1519      
0410.21:48:05.953 0410.21:48:06.697 0     34.120.237.76   443   0     192.168.0.36    49056 6   3  44         68801     
0410.21:48:05.953 0410.21:48:06.697 0     192.168.0.36    49056 0     34.120.237.76   443   6   3  42         3736      
0410.21:48:06.111 0410.21:48:06.681 0     23.55.241.138   80    0     192.168.0.36    54492 6   3  5          1165      
0410.21:48:06.111 0410.21:48:06.681 0     192.168.0.36    54492 0     23.55.241.138   80    6   3  7          808       
0410.21:48:06.121 0410.21:48:06.689 0     23.55.241.138   80    0     192.168.0.36    54494 6   3  5          1157      
0410.21:48:06.121 0410.21:48:06.689 0     192.168.0.36    54494 0     23.55.241.138   80    6   3  6          756       
0410.21:48:06.122 0410.21:48:06.682 0     23.55.241.138   80    0     192.168.0.36    54496 6   3  4          1105      
0410.21:48:06.122 0410.21:48:06.682 0     192.168.0.36    54496 0     23.55.241.138   80    6   3  6          756       
0410.21:48:06.145 0410.21:48:06.186 0     192.168.0.1     53    0     192.168.0.36    37973 17  0  1          153       
0410.21:48:06.145 0410.21:48:06.186 0     192.168.0.36    37973 0     192.168.0.1     53    17  0  1          72        
0410.21:48:06.145 0410.21:48:06.175 0     192.168.0.1     53    0     192.168.0.36    6383  17  0  1          153       
0410.21:48:06.145 0410.21:48:06.175 0     192.168.0.36    6383  0     192.168.0.1     53    17  0  1          72        
0410.21:48:06.189 0410.21:48:06.209 0     192.168.0.1     53    0     192.168.0.36    57158 17  0  1          153       
0410.21:48:06.189 0410.21:48:06.209 0     192.168.0.36    57158 0     192.168.0.1     53    17  0  1          72        
0410.21:48:06.191 0410.21:48:06.222 0     192.168.0.1     53    0     192.168.0.36    13725 17  0  1          153       
0410.21:48:06.191 0410.21:48:06.222 0     192.168.0.36    13725 0     192.168.0.1     53    17  0  1          72        
0410.21:48:06.224 0410.21:48:06.249 0     192.168.0.1     53    0     192.168.0.36    27070 17  0  1          153       
0410.21:48:06.224 0410.21:48:06.249 0     192.168.0.36    27070 0     192.168.0.1     53    17  0  1          72        
0410.21:48:06.225 0410.21:48:06.245 0     192.168.0.1     53    0     192.168.0.36    17762 17  0  1          153       
0410.21:48:06.225 0410.21:48:06.245 0     192.168.0.36    17762 0     192.168.0.1     53    17  0  1          72        
0410.21:48:06.251 0410.21:48:06.268 0     192.168.0.1     53    0     192.168.0.36    63813 17  0  1          153       
0410.21:48:06.251 0410.21:48:06.268 0     192.168.0.36    63813 0     192.168.0.1     53    17  0  1          72        
0410.21:48:06.253 0410.21:48:06.281 0     192.168.0.1     53    0     192.168.0.36    49209 17  0  1          153       
0410.21:48:06.253 0410.21:48:06.281 0     192.168.0.36    49209 0     192.168.0.1     53    17  0  1          72        
0410.21:48:06.285 0410.21:48:06.304 0     192.168.0.1     53    0     192.168.0.36    13759 17  0  1          153       
0410.21:48:06.285 0410.21:48:06.304 0     192.168.0.36    13759 0     192.168.0.1     53    17  0  1          72        
0410.21:48:06.286 0410.21:48:06.311 0     192.168.0.1     53    0     192.168.0.36    15039 17  0  1          153       
0410.21:48:06.286 0410.21:48:06.311 0     192.168.0.36    15039 0     192.168.0.1     53    17  0  1          72        
0410.21:48:06.315 0410.21:48:06.332 0     192.168.0.1     53    0     192.168.0.36    63877 17  0  1          153       
0410.21:48:06.315 0410.21:48:06.332 0     192.168.0.36    63877 0     192.168.0.1     53    17  0  1          72        
0410.21:48:06.316 0410.21:48:06.336 0     192.168.0.1     53    0     192.168.0.36    37049 17  0  1          153       
0410.21:48:06.316 0410.21:48:06.336 0     192.168.0.36    37049 0     192.168.0.1     53    17  0  1          72        
0410.21:48:06.337 0410.21:48:06.354 0     192.168.0.1     53    0     192.168.0.36    32836 17  0  1          153       
0410.21:48:06.337 0410.21:48:06.354 0     192.168.0.36    32836 0     192.168.0.1     53    17  0  1          72        
0410.21:48:06.337 0410.21:48:06.368 0     192.168.0.1     53    0     192.168.0.36    57403 17  0  1          153       
0410.21:48:06.337 0410.21:48:06.368 0     192.168.0.36    57403 0     192.168.0.1     53    17  0  1          72        
0410.21:48:06.370 0410.21:48:06.386 0     192.168.0.1     53    0     192.168.0.36    11490 17  0  1          153       
0410.21:48:06.370 0410.21:48:06.386 0     192.168.0.36    11490 0     192.168.0.1     53    17  0  1          72        
0410.21:48:06.371 0410.21:48:06.392 0     192.168.0.1     53    0     192.168.0.36    46574 17  0  1          153       
0410.21:48:06.371 0410.21:48:06.392 0     192.168.0.36    46574 0     192.168.0.1     53    17  0  1          72        
0410.21:48:06.602 0410.21:48:06.620 0     192.168.0.1     53    0     192.168.0.36    6511  17  0  1          319       
0410.21:48:06.602 0410.21:48:06.620 0     192.168.0.36    6511  0     192.168.0.1     53    17  0  1          61        
0410.21:48:06.602 0410.21:48:06.627 0     192.168.0.1     53    0     192.168.0.36    36364 17  0  1          207       
0410.21:48:06.602 0410.21:48:06.627 0     192.168.0.36    36364 0     192.168.0.1     53    17  0  1          61        
0410.21:48:06.629 0410.21:48:06.644 0     192.168.0.1     53    0     192.168.0.36    28664 17  0  1          107       
0410.21:48:06.629 0410.21:48:06.644 0     192.168.0.36    28664 0     192.168.0.1     53    17  0  1          62        
0410.21:48:06.630 0410.21:48:06.650 0     192.168.0.1     53    0     192.168.0.36    26530 17  0  1          119       
0410.21:48:06.630 0410.21:48:06.650 0     192.168.0.36    26530 0     192.168.0.1     53    17  0  1          62        
0410.21:48:06.633 0410.21:48:06.650 0     192.168.0.1     53    0     192.168.0.36    38831 17  0  1          155       
0410.21:48:06.633 0410.21:48:06.650 0     192.168.0.36    38831 0     192.168.0.1     53    17  0  1          60        
0410.21:48:06.634 0410.21:48:06.657 0     192.168.0.1     53    0     192.168.0.36    29416 17  0  1          363       
0410.21:48:06.634 0410.21:48:06.657 0     192.168.0.36    29416 0     192.168.0.1     53    17  0  1          60        
0410.21:48:06.636 0410.21:48:06.658 0     192.168.0.1     53    0     192.168.0.36    62767 17  0  1          111       
0410.21:48:06.636 0410.21:48:06.658 0     192.168.0.36    62767 0     192.168.0.1     53    17  0  1          60        
0410.21:48:06.636 0410.21:48:06.657 0     192.168.0.1     53    0     192.168.0.36    62362 17  0  1          153       
0410.21:48:06.636 0410.21:48:06.657 0     192.168.0.36    62362 0     192.168.0.1     53    17  0  1          60        
0410.21:48:06.651 0410.21:48:06.669 0     192.168.0.1     53    0     192.168.0.36    2458  17  0  1          108       
0410.21:48:06.651 0410.21:48:06.669 0     192.168.0.36    2458  0     192.168.0.1     53    17  0  1          63        
0410.21:48:06.651 0410.21:48:06.672 0     192.168.0.1     53    0     192.168.0.36    32620 17  0  1          120       
0410.21:48:06.651 0410.21:48:06.672 0     192.168.0.36    32620 0     192.168.0.1     53    17  0  1          63        
0410.21:48:06.657 0410.21:48:06.682 0     192.168.0.1     53    0     192.168.0.36    4344  17  0  1          73        
0410.21:48:06.657 0410.21:48:06.682 0     192.168.0.36    4344  0     192.168.0.1     53    17  0  1          57        
0410.21:48:06.658 0410.21:48:06.682 0     192.168.0.1     53    0     192.168.0.36    23343 17  0  1          123       
0410.21:48:06.658 0410.21:48:06.682 0     192.168.0.36    23343 0     192.168.0.1     53    17  0  1          59        
0410.21:48:06.659 0410.21:48:06.682 0     192.168.0.1     53    0     192.168.0.36    57186 17  0  1          140       
0410.21:48:06.659 0410.21:48:06.682 0     192.168.0.36    57186 0     192.168.0.1     53    17  0  1          59        
0410.21:48:06.659 0410.21:48:06.687 0     192.168.0.1     53    0     192.168.0.36    10029 17  0  1          122       
0410.21:48:06.659 0410.21:48:06.687 0     192.168.0.36    10029 0     192.168.0.1     53    17  0  1          57        
0410.21:48:06.672 0410.21:48:06.697 0     192.168.0.1     53    0     192.168.0.36    61801 17  0  1          124       
0410.21:48:06.672 0410.21:48:06.697 0     192.168.0.36    61801 0     192.168.0.1     53    17  0  1          60        
0410.21:48:06.673 0410.21:48:06.697 0     192.168.0.1     53    0     192.168.0.36    1645  17  0  1          142       
0410.21:48:06.673 0410.21:48:06.697 0     192.168.0.36    1645  0     192.168.0.1     53    17  0  1          60        
0410.21:48:06.683 0410.21:48:06.707 0     192.168.0.1     53    0     192.168.0.36    64114 17  0  1          137       
0410.21:48:06.683 0410.21:48:06.707 0     192.168.0.36    64114 0     192.168.0.1     53    17  0  1          59        
0410.21:48:06.683 0410.21:48:06.707 0     192.168.0.1     53    0     192.168.0.36    39002 17  0  1          161       
0410.21:48:06.683 0410.21:48:06.707 0     192.168.0.36    39002 0     192.168.0.1     53    17  0  1          59        
0410.21:48:06.689 0410.21:48:06.917 0     192.168.0.1     53    0     192.168.0.36    53286 17  0  1          73        
0410.21:48:06.689 0410.21:48:06.917 0     192.168.0.36    53286 0     192.168.0.1     53    17  0  1          73        
0410.21:48:06.687 0410.21:48:07.024 0     192.168.0.1     53    0     192.168.0.36    4591  17  0  1          73        
0410.21:48:06.687 0410.21:48:07.024 0     192.168.0.36    4591  0     192.168.0.1     53    17  0  1          73        
0410.21:48:07.025 0410.21:48:07.223 0     192.168.0.1     53    0     192.168.0.36    39657 17  0  1          73        
0410.21:48:07.025 0410.21:48:07.223 0     192.168.0.36    39657 0     192.168.0.1     53    17  0  1          73        
0410.21:48:07.027 0410.21:48:07.059 0     192.168.0.1     53    0     192.168.0.36    24276 17  0  1          73        
0410.21:48:07.027 0410.21:48:07.059 0     192.168.0.36    24276 0     192.168.0.1     53    17  0  1          73        
0410.21:48:07.223 0410.21:48:07.427 0     192.168.0.1     53    0     192.168.0.36    7293  17  0  1          73        
0410.21:48:07.223 0410.21:48:07.427 0     192.168.0.36    7293  0     192.168.0.1     53    17  0  1          73        
0410.21:48:07.224 0410.21:48:07.427 0     192.168.0.1     53    0     192.168.0.36    18311 17  0  1          73        
0410.21:48:07.224 0410.21:48:07.427 0     192.168.0.36    18311 0     192.168.0.1     53    17  0  1          73        
0410.21:48:14.711 0410.21:48:14.711 0     192.168.0.1     44860 0     239.255.255.250 1900  17  0  3          1500      
0410.21:48:14.711 0410.21:48:14.711 0     192.168.0.1     60230 0     239.255.255.250 1900  17  0  1          537       
0410.21:48:14.711 0410.21:48:14.711 0     192.168.0.1     36380 0     239.255.255.250 1900  17  0  2          1003      
0410.21:48:14.711 0410.21:48:14.711 0     192.168.0.1     34014 0     239.255.255.250 1900  17  0  1          553       
0410.21:48:14.711 0410.21:48:14.711 0     192.168.0.1     51997 0     239.255.255.250 1900  17  0  2          1023      
0410.21:48:14.711 0410.21:48:14.711 0     192.168.0.1     53606 0     239.255.255.250 1900  17  0  1          535       
0410.21:48:14.798 0410.21:48:14.798 0     192.168.0.1     35492 0     239.255.255.250 1900  17  0  3          1500      
0410.21:48:14.798 0410.21:48:14.798 0     192.168.0.1     39236 0     239.255.255.250 1900  17  0  1          537       
0410.21:48:14.798 0410.21:48:14.798 0     192.168.0.1     60436 0     239.255.255.250 1900  17  0  2          1003      
0410.21:48:14.798 0410.21:48:14.798 0     192.168.0.1     50044 0     239.255.255.250 1900  17  0  1          553       
0410.21:48:14.798 0410.21:48:14.798 0     192.168.0.1     53463 0     239.255.255.250 1900  17  0  2          1023      
0410.21:48:14.798 0410.21:48:14.798 0     192.168.0.1     34736 0     239.255.255.250 1900  17  0  1          535       
0410.21:48:15.838 0410.21:48:17.877 0     192.168.0.199   60441 0     239.255.255.250 1900  17  0  3          609       
0410.21:48:57.738 0410.21:48:57.742 0     192.168.0.1     53    0     192.168.0.36    57622 17  0  1          99        
0410.21:48:57.738 0410.21:48:57.742 0     192.168.0.36    57622 0     192.168.0.1     53    17  0  1          72        
0410.21:45:52.891 0410.21:49:00.600 0     192.168.0.245   5353  0     224.0.0.251     5353  17  0  5          875       
