Start,End,Sif,SrcIPaddress,SrcP,Dif,DstIPaddress,DstP,P,Fl,Pkts,Octets
13.21:47:51,13.21:47:52,0,192.168.0.36,54660,0,199.232.154.133,443,6,7,10,1114
13.21:49:14,13.21:49:46,0,192.168.0.36,40998,0,104.244.42.3,443,6,7,17,2195
13.21:48:07,13.21:48:07,0,192.168.0.36,23343,0,192.168.0.1,53,17,0,1,59
13.21:47:50,13.21:47:50,0,192.168.0.36,27231,0,192.168.0.1,53,17,0,1,72
13.21:48:58,13.21:48:58,0,192.168.0.36,37434,0,192.168.0.142,86,6,2,1,60
13.21:48:07,13.21:48:07,0,192.168.0.36,4344,0,192.168.0.1,53,17,0,1,57
13.21:47:51,13.21:47:51,0,192.168.0.36,9258,0,192.168.0.1,53,17,0,1,61
13.21:49:36,13.21:49:46,0,192.168.0.36,58506,0,52.89.31.9,443,6,7,28,9526
13.21:47:48,13.21:47:48,0,192.168.0.36,7518,0,192.168.0.1,53,17,0,1,60
13.21:47:52,13.21:48:07,0,192.168.0.36,48166,0,142.250.217.138,443,6,3,22,2704
13.21:49:09,13.21:49:10,0,192.168.0.36,56618,0,142.250.72.136,443,6,7,13,1495
13.21:47:51,13.21:47:51,0,192.168.0.36,14910,0,192.168.0.1,53,17,0,1,61
13.21:49:37,13.21:49:46,0,192.168.0.36,58512,0,52.89.31.9,443,6,7,18,2188
13.21:47:50,13.21:47:50,0,192.168.0.36,14812,0,192.168.0.1,53,17,0,1,72
13.21:47:48,13.21:47:52,0,192.168.0.36,59424,0,34.120.5.221,443,6,3,25,2644
13.21:49:20,13.21:49:46,0,192.168.0.36,52048,0,23.220.73.11,443,6,7,19,2095
13.21:47:50,13.21:47:50,0,192.168.0.36,4376,0,192.168.0.1,53,17,0,1,88
13.21:48:07,13.21:48:07,0,192.168.0.36,39657,0,192.168.0.1,53,17,0,1,73
13.21:48:06,13.21:48:06,0,192.168.0.36,37973,0,192.168.0.1,53,17,0,1,72
13.21:48:06,13.21:48:06,0,192.168.0.36,11490,0,192.168.0.1,53,17,0,1,72
13.21:48:58,13.21:48:58,0,192.168.0.36,43116,0,192.168.0.142,90,6,2,1,60
13.21:48:06,13.21:48:06,0,192.168.0.36,15039,0,192.168.0.1,53,17,0,1,72
13.21:47:52,13.21:47:52,0,192.168.0.36,4957,0,192.168.0.1,53,17,0,1,64
13.21:48:06,13.21:48:06,0,192.168.0.36,49058,0,34.120.237.76,443,6,7,13,1483
13.21:48:07,13.21:48:07,0,192.168.0.36,32620,0,192.168.0.1,53,17,0,1,63
13.21:48:07,13.21:48:07,0,192.168.0.36,26530,0,192.168.0.1,53,17,0,1,62
13.21:48:07,13.21:48:07,0,192.168.0.36,36364,0,192.168.0.1,53,17,0,1,61
13.21:49:14,13.21:49:14,0,192.168.0.36,33456,0,35.244.167.102,443,6,3,8,1687
13.21:48:58,13.21:48:58,0,192.168.0.36,45702,0,192.168.0.142,99,6,2,1,60
13.21:49:09,13.21:49:46,0,192.168.0.36,34188,0,184.28.252.219,443,6,7,44,3403
13.21:49:15,13.21:49:46,0,192.168.0.36,34152,0,23.220.73.141,443,6,7,153,13490
13.21:49:15,13.21:49:46,0,192.168.0.36,39586,0,152.195.19.97,443,6,6,32,3016
13.21:48:07,13.21:48:07,0,192.168.0.36,1645,0,192.168.0.1,53,17,0,1,60
13.21:48:58,13.21:48:58,0,192.168.0.36,37494,0,192.168.0.142,93,6,2,1,60
13.21:47:50,13.21:47:50,0,192.168.0.36,4465,0,192.168.0.1,53,17,0,1,72
13.21:47:48,13.21:47:52,0,192.168.0.36,54454,0,23.55.241.138,80,6,3,6,756
13.21:47:50,13.21:47:50,0,192.168.0.36,12127,0,192.168.0.1,53,17,0,1,72
